data,region_code,denominazione_region,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_insulation,new_positives,resigned_healed
2020-11-19T17:00:00,20,Sardegna,517,67,584,10808,479,5243
2020-10-11T17:00:00,6,Friuli Venezia Giulia,22,5,27,1296,97,3834
2020-06-24T17:00:00,7,Liguria,59,1,60,201,1,8124
2020-06-07T17:00:00,6,Friuli Venezia Giulia,22,4,26,125,0,2793
2020-06-06T17:00:00,15,Campania,97,7,104,634,0,3658
2020-12-06T17:00:00,18,Calabria,390,32,422,10239,340,7533
2020-06-26T17:00:00,3,Lombardia,501,47,548,11092,156,65323
2020-12-23T17:00:00,2,Valle d'Aosta,84,4,88,342,11,6284
2020-12-28T17:00:00,16,Puglia,1494,139,1633,51524,645,31533
2020-09-25T17:00:00,17,Basilicata,13,1,14,191,13,458
2020-03-02T18:00:00,12,Lazio,3,0,3,1,1,3
2021-01-21T17:00:00,14,Molise,56,8,64,981,34,6404
2020-05-16T17:00:00,15,Campania,351,16,367,1343,14,2562
2020-03-09T18:00:00,17,Basilicata,2,0,2,3,1,0
2020-11-11T17:00:00,1,Piemonte,4790,340,5130,55224,2953,42087
2020-07-18T17:00:00,12,Lazio,174,9,183,683,20,6703
2020-09-13T17:00:00,5,Veneto,95,14,109,2858,142,19700
2020-06-06T17:00:00,14,Molise,0,2,2,119,0,292
2020-04-06T17:00:00,22,P.A. Trento,354,79,433,1405,63,280
2020-05-07T17:00:00,21,P.A. Bolzano,87,11,98,453,9,1715
2020-12-18T17:00:00,20,Sardegna,547,53,600,15017,285,11434
2020-08-02T17:00:00,22,P.A. Trento,1,0,1,98,4,4475
2021-01-05T17:00:00,3,Lombardia,3344,475,3819,48498,1338,409548
2020-04-01T17:00:00,20,Sardegna,119,27,146,529,23,36
2020-06-19T17:00:00,22,P.A. Trento,2,0,2,54,1,3936
2020-09-16T17:00:00,6,Friuli Venezia Giulia,22,3,25,587,29,3249
2020-02-25T18:00:00,9,Toscana,2,0,2,0,2,0
2020-12-03T17:00:00,19,Sicilia,1465,221,1686,38094,1294,26432
2020-09-05T17:00:00,9,Toscana,69,8,77,1812,113,9260
2020-10-23T17:00:00,2,Valle d'Aosta,50,3,53,948,97,1166
2021-01-02T17:00:00,13,Abruzzo,443,37,480,10771,23,23266
2020-09-05T17:00:00,18,Calabria,20,0,20,305,19,1173
